id,branche,bran_4,filter,ost,gb,bges,gk3n,bhsp,bhspno,um,umx,lp,lpx,exs,exsx,exno,umpr1,pd,pz,pdpp,pddl,umneu,umunw,mneu,mneup,pzfv,pzlv,pziv,pzua,pzgp,pzao,pzmm,rek,rekp,pn,pa,pok,fuekon,fuesp,fuespx,fueint,fueext,fueexti,fueexta,fueoef,fueoefmno,iafueno,iavfueno,iavfueewr,iavfueso,iasono,ias,iasx,iainvs,iainvsx,iafues,iafuesx,iavfues,iavfuesx,iasos,iasosx,fue_bkosts,fue_bkostsx,fues,fuesx,fueoefms,fueoefmsx,iagesno,iainvno,pdz2022,pdz2023,iae2022,iae2023,iap2022,iap2022x,iap2023,iap2023x,uk1z,uk1r,uk1s,uk1l,uk2k,uk2m,uk2e,uk2i,uk3v,uk3a,uk3l,uk3r,uk4z,uk4s,uk4w,uk4b,ghvar,ghf1,ghf2,ghf3,ghe1,ghe2,ghe3,ghp1,ghp2,ghvarp,maein1,maein2,maein3,maein4,maein5
349498,Wood/Paper,Other Industry,yes,yes,Sector,19.09232741594315,<50 employees,15<=x<20,no,2.863849112391472,No truncation,.14375,No truncation,.0028985508,No truncation,no,90<=x<=100,no,no,no,no,,,,,no,no,no,no,no,no,no,,,no,no,no,never,,,no,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,No,No,,,,,,,1,4,3,2,3,4,1,2,3,2,1,4,4,3,1,2,no,,,,,,,,,,no,no,no,yes,no
349534,Metals,Other Industry,no,yes,Company,80.90608298778534,50-249 employees,5<=x<10,no,9.828590822219848,No truncation,.11714286,No truncation,.097560972,No truncation,no,80<=x<90,no,yes,no,no,,,,,no,no,,yes,yes,no,no,yes,0<x<5,yes,no,no,never,,,no,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,No,No,,,,,,,1,4,3,2,4,3,2,1,3,1,4,2,3,1,2,4,yes,yes,yes,no,yes,no,yes,no,yes,90<=x<=100,no,yes,no,no,no
349657,Glass/Ceramics,Other Industry,yes,yes,,6.933357119560242,<50 employees,x=0,yes,1.727396402359009,No truncation,.21799999,No truncation,0,No truncation,yes,90<=x<=100,no,no,no,no,,,,,no,no,no,no,no,no,no,,,no,no,no,never,,,no,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,No,not known yet,,unknown,,,,,1,4,3,2,1,3,2,4,3,2,1,4,3,1,4,2,no,,,,,,,,,,no,no,no,no,no
349660,Metals,Other Industry,no,yes,Sector,14.87662017345428,<50 employees,0<x<5,no,2.203943729400635,No truncation,.14285715,No truncation,0,No truncation,yes,90<=x<=100,no,yes,no,no,,,,,yes,no,yes,yes,yes,yes,yes,no,x=0,no,no,no,never,,,no,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,1,3,4,1,1,2,1,2,2,1,1,2,2,1,2,1,yes,yes,yes,no,yes,no,no,no,yes,90<=x<=100,no,no,no,no,no
349741,Electrical equipment,Research-intensive Industry,no,yes,Sector,32.44976967573166,<50 employees,30<=x<50,no,3.66988527238369,No truncation,.093656249,No truncation,.016683349,No truncation,no,80<=x<90,yes,yes,yes,no,20<=x<30,75<=x<=100,yes,5<=x<10,yes,no,yes,yes,yes,yes,yes,yes,0<x<5,yes,no,no,continuously,.3773585,No truncation,yes,yes,yes,no,yes,no,no,no,100,0,no,.12012012,No truncation,.0033366701,No truncation,.10343677,No truncation,.01334668,No truncation,.0033366701,No truncation,.083416753,No truncation,.11678345,No truncation,.052385718,No truncation,nein,no,planned,planned,increase,no change,117.31445,No truncation,117.31445,No truncation,1,3,1,2,2,1,1,1,1,1,1,1,2,1,2,1,yes,yes,yes,no,yes,no,no,no,yes,90<=x<=100,no,no,yes,yes,yes
349792,Energy/Water,Other Industry,no,yes,Sector,40.0711110830307,<50 employees,15<=x<20,no,16.15770608186722,No truncation,.37878788,No truncation,0,No truncation,yes,90<=x<=100,no,yes,no,no,,,,,no,no,no,yes,no,no,no,no,x=0,no,no,no,never,,,no,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,No,No,,,,,,,4,3,1,2,1,4,2,3,4,1,3,2,2,1,3,4,yes,yes,yes,no,yes,no,no,no,yes,20<=x<30,no,no,yes,no,no
349834,Furniture/Toys/Medical technology/Maintenance,Other Industry,no,yes,,5.042963027954102,<50 employees,50<=x<75,no,.4538666725158691,No truncation,.090000004,No truncation,.06666667,No truncation,no,80<=x<90,yes,yes,no,yes,75<=x<=100,10<=x<15,no,x=0,yes,no,no,yes,yes,yes,yes,yes,10<=x<15,yes,no,yes,continuously,.80000001,No truncation,yes,yes,yes,no,yes,no,no,no,100,0,yes,.42222223,No truncation,.044444446,No truncation,.33333334,No truncation,.088888891,No truncation,0,No truncation,.22222222,No truncation,.42222223,No truncation,.15555556,No truncation,nein,no,planned,,no change,,54.407631,No truncation,,,1,1,,1,,,1,1,1,1,,,1,,,,no,,,,,,,,,,no,no,yes,yes,yes
349846,Metals,Other Industry,no,yes,,172.314706325531,50-249 employees,5<=x<10,no,16.30282850265503,No truncation,.09461078,No truncation,.060379747,No truncation,no,90<=x<=100,yes,yes,yes,no,10<=x<15,75<=x<=100,no,x=0,yes,no,no,no,no,no,no,no,x=0,yes,no,no,continuously,.011976048,No truncation,yes,yes,yes,no,yes,no,no,no,80,20,yes,.0041139242,No truncation,0,No truncation,.0037974683,No truncation,.0003164557,No truncation,0,No truncation,.0025316456,No truncation,.0041139242,No truncation,.00094936707,No truncation,nein,yes,planned,planned,no change,no change,155.76239,No truncation,155.76239,No truncation,1,2,2,2,2,2,1,2,2,3,2,2,3,2,2,2,yes,no,yes,no,yes,no,no,yes,yes,10<=x<20,no,no,yes,yes,yes
349912,Metals,Other Industry,no,yes,,32.51507154107094,<50 employees,0<x<5,no,4.057741078555584,No truncation,.12089583,No truncation,.088747203,No truncation,no,80<=x<90,no,yes,no,no,,,,,yes,no,no,no,no,no,no,yes,10<=x<15,no,no,no,never,,,no,no,,,no,,yes,yes,,,no,.017921764,No truncation,.017921764,No truncation,0,No truncation,0,No truncation,.017921764,No truncation,,,0,No truncation,,,nein,no,No,not known yet,,unknown,,,,,1,3,1,2,4,1,1,3,3,2,1,2,3,2,2,2,yes,yes,no,no,no,yes,yes,no,yes,90<=x<=100,no,no,yes,yes,no
349963,Metals,Other Industry,yes,yes,,8.512455940246582,<50 employees,5<=x<10,no,.4256227970123291,No truncation,.046153847,No truncation,,,,90<=x<=100,no,no,no,no,,,,,no,no,no,no,no,no,no,,,no,no,no,never,,,no,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,No,No,,,,,,,1,2,4,3,1,4,2,3,3,2,1,4,4,2,3,1,no,,,,,,,,,,no,no,no,no,no
